,fc_nm,fc_type,sido_nm,sgg_nm,sgg_cd,road_addr,jibun_addr,lat,lon,phone_num,week_start_time,week_end_time,sat_start_time,sat_end_time,holiday_start_time,holiday_end_time,delivery_start_time,delivery_end_time,manage_agency,manage_agency_pn,base_date
97,옥선당,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로140번길 95-48,경기도 수원시 권선구 호매실동 1346-1,37.26841158,126.9431585,0507-1393-8222,11:00,21:00,11:00,21:00,11:00,21:00,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
98,명인족발,1,경기도,수원시,41115,경기도 수원시 권선구 매송고색로 668,경기도 수원시 권선구 고색동 408-23,37.24963872,126.9776922,031-296-1113,13:00,1:00,13:00,1:00,13:00,1:00,13:00,1:00,경기도 수원시,031-228-6429,2021-03-11
99,59쌀피자,1,경기도,수원시,41115,경기도 수원시 권선구 세지로 32,경기도 수원시 권선구 세류동 1090-24,37.25497934,127.0159377,0507-1326-3659,11:00,23:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
100,원할머니보쌈 권선배달점,1,경기도,수원시,41115,경기도 수원시 권선구 동수원로177번길 40,경기도 수원시 권선구 권선동 1364,37.24668417,127.0301424,031-234-5456,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-6429,2021-03-11
101,어스케이크,1,경기도,수원시,41115,경기도 수원시 권선구 당진로32번길 48-1,경기도 수원시 권선구 당수동 163-12,37.29157999,126.943328,0507-1353-1264,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,경기도 수원시,031-228-6429,2021-03-11
102,온마음푸드,1,경기도,수원시,41115,경기도 수원시 권선구 동수원로146번길 144-6,경기도 수원시 권선구 곡반정동 512-8,37.2445729,127.0339186,031-221-4499,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,경기도 수원시,031-228-6429,2021-03-11
103,보영만두 호매실점,1,경기도,수원시,41115,경기도 수원시 권선구 금호로 83-8,경기도 수원시 권선구 금곡동 1141,37.27204759,126.9592003,031-298-1085,11:00,21:30,11:00,21:30,11:00,21:30,11:00,21:30,경기도 수원시,031-228-6429,2021-03-11
104,바다목장,1,경기도,수원시,41115,경기도 수원시 권선구 권중로56번길 38,경기도 수원시 권선구 권선동 1253-2,37.25321206,127.0294228,031-224-2276,5:00,22:00,5:00,22:00,5:00,22:00,5:00,22:00,경기도 수원시,031-228-6429,2021-03-11
105,정스닭꼬치 호매실점,1,경기도,수원시,41115,경기도 수원시 권선구 칠보로 138,경기도 수원시 권선구 호매실동 1362-1,37.26562076,126.9538717,0507-1344-5948,14:00,23:00,14:00,23:00,14:00,23:00,14:00,23:00,경기도 수원시,031-228-6429,2021-03-11
106,세븐일레븐 수원오목주공점,1,경기도,수원시,41115,경기도 수원시 권선구 삼천병마로 1553,경기도 수원시 권선구 오목천동 444-27,37.2414496,126.962468,031-296-0711,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
107,팔팔스낵 탑동본점,1,경기도,수원시,41115,경기도 수원시 권선구 금호로 226,경기도 수원시 권선구 탑동 758-5,37.27515883,126.974838,0507-1368-8818,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,경기도 수원시,031-228-6429,2021-03-11
108,장작클라스 수원곡반직영점,1,경기도,수원시,41115,경기도 수원시 권선구 곡선로 44,경기도 수원시 권선구 곡반정동 564-6,37.23877952,127.0292667,0507-1496-7822,17:00,2:00,17:00,2:00,17:00,2:00,17:00,2:00,경기도 수원시,031-228-6429,2021-03-11
109,이마트24 수원탑동점,1,경기도,수원시,41115,경기도 수원시 권선구 탑동로11번길 58-16,경기도 수원시 권선구 탑동 821-1,37.27016179,126.9718563,02-6916-1500,6:00,1:00,6:00,1:00,6:00,1:00,6:00,1:00,경기도 수원시,031-228-6429,2021-03-11
110,제일족발,1,경기도,수원시,41115,경기도 수원시 권선구 세권로 185,경기도 수원시 권선구 권선동 1051,37.25609894,127.0245796,031-235-9022,11:30,22:30,11:30,22:30,11:30,22:30,11:30,22:30,경기도 수원시,031-228-6429,2021-03-11
111,신짬뽕,1,경기도,수원시,41115,경기도 수원시 권선구 동수원로46번길 32,경기도 수원시 권선구 곡반정동 591-1,37.23440052,127.0258154,031-236-1174,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,경기도 수원시,031-228-6429,2021-03-11
112,채선당 도시락 & 샐러드(호매실점),1,경기도,수원시,41115,경기도 수원시 권선구 금곡로 193,경기도 수원시 권선구 금곡동 1112-2,37.27386339,126.9516042,031-225-6666,10:30,20:30,10:30,20:30,10:30,20:30,10:30,20:30,경기도 수원시,031-228-6429,2021-03-11
113,배떡 곡반정점,1,경기도,수원시,41115,경기도 수원시 권선구 동수원로146번길 316-3,경기도 수원시 권선구 곡반정동 530-11,37.24273711,127.030965,031-233-5104,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-6429,2021-03-11
114,낙지의 품격,1,경기도,수원시,41115,경기도 수원시 권선구 동수원로 232,경기도 수원시 권선구 권선동 1296-5,37.25025953,127.034691,031-222-0810,10:30,21:30,10:30,21:30,10:30,21:30,10:30,21:30,경기도 수원시,031-228-6429,2021-03-11
115,식또락 부대찌개,1,경기도,수원시,41115,경기도 수원시 권선구 세지로12번길 25-30,경기도 수원시 권선구 세류동 1108,37.25412788,127.0170141,0507-1495-3133,11:00,21:30,11:00,21:30,11:00,21:30,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
116,최고의 음식점,1,경기도,수원시,41115,경기도 수원시 권선구 경수대로384번길 24,경기도 수원시 권선구 권선동 1019-2,37.26007079,127.0255647,0507-1397-6673,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
117,꼬마아닌꼬마김밥,1,경기도,수원시,41115,경기도 수원시 권선구 덕영대로1190번길 100,경기도 수원시 권선구 권선동 1337,37.24469781,127.0194358,0507-1378-5958,10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,경기도 수원시,031-228-6429,2021-03-11
118,장호덕손만두찐빵,1,경기도,수원시,41115,경기도 수원시 권선구 매송고색로 755,경기도 수원시 권선구 고색동 27-1,37.25285368,126.9869567,0507-1305-7609,0:00,24:00:00,0:00,24:00:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
119,수철이네왕새우튀김 호매실점,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로 213,경기도 수원시 권선구 금곡동 1114,37.27485129,126.9536438,031-297-2987,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,경기도 수원시,031-228-6429,2021-03-11
120,어부촌,1,경기도,수원시,41115,경기도 수원시 권선구 권중로56번길 26-4,경기도 수원시 권선구 권선동 1252-1,37.25301759,127.030223,031-217-9279,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-6429,2021-03-11
121,스파게티참잘하는집,1,경기도,수원시,41115,경기도 수원시 권선구 경수대로384번길 24,경기도 수원시 권선구 권선동 1019-2,37.26007079,127.025546,0507-1480-6672,10:00,24:00:00,10:00,24:00:00,10:00,24:00:00,10:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
122,신전떡볶이 권선점,1,경기도,수원시,41115,경기도 수원시 권선구 권광로56번길 35,경기도 수원시 권선구 권선동 1256-8,37.2525507,127.0304756,0507-1338-2339,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,경기도 수원시,031-228-6429,2021-03-11
123,더맛있는카스테라,1,경기도,수원시,41115,경기도 수원시 권선구 당진로31번길 7-4,경기도 수원시 권선구 당수동 261-7,37.29168554,126.9399119,0507-1374-1486,9:00,20:00,9:00,20:00,9:00,20:00,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
124,진수성찬,1,경기도,수원시,41115,경기도 수원시 권선구 구운로 80,경기도 수원시 권선구 구운동 471-10,37.2805957,126.972799,031-294-2007,11:00,21:30,11:00,21:30,11:00,21:30,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
125,노대감 감자탕,1,경기도,수원시,41115,경기도 수원시 팔달구 갓매산로 54,경기도 수원시 팔달구 매산로2가 12-5,37.26923813,127.0048727,031-256-5070,10:00,21:00,10:00,21:00,10:00,21:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
126,이화한식뷔페,1,경기도,수원시,41115,경기도 수원시 팔달구 경수대로 420,경기도 수원시 팔달구 인계동 1015-3,37.26364076,127.0258085,070-8829-8880,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
127,로마딜리버리,1,경기도,수원시,41115,경기도 수원시 팔달구 경수대로 549,경기도 수원시 팔달구 인계동 955-1,37.27505973,127.029362,031-235-8277,11:30,20:00,11:30,20:00,11:30,20:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
128,생생돈까스 수원인계 딜리버리점,1,경기도,수원시,41115,경기도 수원시 팔달구 경수대로446번길 35,경기도 수원시 팔달구 인계동 1024-14,37.26564803,127.0284714,031-233-1508,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,경기도 수원시,031-228-7344,2021-03-11
129,형노가정육식당,1,경기도,수원시,41115,경기도 수원시 팔달구 경수대로466번길 33,경기도 수원시 팔달구 인계동 1019-6,37.26740655,127.0290468,0507-1337-8393,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
130,제주은희네해장국 수원인계점,1,경기도,수원시,41115,경기도 수원시 팔달구 경수대로466번길 52,경기도 수원시 팔달구 인계동 1034-3,37.26666633,127.0298327,031-302-8475,6:00,22:00,6:00,22:00,7:00,22:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
131,대궐,1,경기도,수원시,41115,경기도 수원시 팔달구 경수대로642번길 55,경기도 수원시 팔달구 우만동 513-7,37.28439894,127.0317224,0507-1361-5293,10:30,21:30,10:30,21:30,10:30,21:30,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
132,피그팩토리,1,경기도,수원시,41115,경기도 수원시 팔달구 경수대로718번길 36,경기도 수원시 팔달구 우만동 587-2,37.29049831,127.0267585,031-243-8216,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
133,샐러디 인계점,1,경기도,수원시,41115,경기도 수원시 팔달구 권광로 174,경기도 수원시 팔달구 인계동 1124-1,37.26286526,127.0329691,031-8004-2271,8:00,22:00,8:00,21:00,8:00,21:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
134,스시벅스인계점,1,경기도,수원시,41115,경기도 수원시 팔달구 권광로124번길 13,경기도 수원시 팔달구 인계동 1132-18,37.2587584,127.031424,031-225-4438,11:30,22:00,11:30,22:00,11:30,22:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
135,공리(인계점),1,경기도,수원시,41115,경기도 수원시 팔달구 권광로285번길 7,경기도 수원시 팔달구 인계동 370-4,37.27251279,127.0357947,0507-1384-0288,10:00,20:40,10:00,20:40,10:00,20:40,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
136,까페 꼴라쥬,1,경기도,수원시,41115,경기도 수원시 팔달구 권선로 739,경기도 수원시 팔달구 인계동 1135-1,37.25815367,127.0321165,0507-1383-9192,10:20,22:30,10:20,22:30,10:20,22:30,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
137,보용만두 화서역점,1,경기도,수원시,41115,경기도 수원시 팔달구 덕영대로 695,경기도 수원시 팔달구 화서동 644-8,37.28471852,126.9903301,031-255-6400,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
138,씨유(CU) 수원화서영광점,1,경기도,수원시,41115,경기도 수원시 팔달구 동말로25번길 71,경기도 수원시 팔달구 화서동 219-20,37.28064144,126.9952523,031-251-4180,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
139,영탁이네만두,1,경기도,수원시,41115,경기도 수원시 팔달구 동말로68번길 15,경기도 수원시 팔달구 화서동 97-2,37.27823105,127.002086,031-243-0754,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
140,짜오띵,1,경기도,수원시,41115,경기도 수원시 팔달구 매산로 133,경기도 수원시 팔달구 교동 91-1,37.2722582,127.0149964,0507-1371-4549,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,경기도 수원시,031-228-7344,2021-03-11
141,자금성,1,경기도,수원시,41115,경기도 수원시 팔달구 매산로116번길 71,경기도 수원시 팔달구 매교동 133-36,37.26838775,127.0152582,050-7461-2343,0:00,23:30,0:00,23:30,0:00,23:30,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
142,씨유(CU)우만풍림점,1,경기도,수원시,41115,경기도 수원시 팔달구 세지로 439-13,경기도 수원시 팔달구 우만동 497,37.28732735,127.0319478,031-246-0777,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
143,수빈이네 베이커리&죽 디저트카페,1,경기도,수원시,41115,경기도 수원시 팔달구 세지로152번길 15,경기도 수원시 팔달구 인계동 1005-3,37.2648456,127.0219746,070-4647-2869,9:00,18:00,9:00,18:00,9:00,18:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
144,윤실장초밥,1,경기도,수원시,41115,경기도 수원시 팔달구 세지로152번길 15,경기도 수원시 팔달구 인계동 1005-3,37.2648456,127.0219746,0507-1343-7725,11:00,23:00,11:00,23:00,11:00,23:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
145,권사부인계점,1,경기도,수원시,41115,경기도 수원시 팔달구 세지로152번길 8,경기도 수원시 팔달구 인계동 1008-20,37.26478003,127.0213472,031-221-8884,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
146,정월,1,경기도,수원시,41115,경기도 수원시 팔달구 신풍로 47,경기도 수원시 팔달구 신풍동 32-1,37.28529709,127.0140821,0507-1361-1269,16:00,0:00,16:00,0:00,16:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
147,뉴욕버거,1,경기도,수원시,41115,경기도 수원시 팔달구 인계로 154,경기도 수원시 팔달구 인계동 1114-1,37.26630686,127.034316,031-231-6966,10:30,21:00,10:30,21:00,10:30,21:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
148,작은동경,1,경기도,수원시,41115,경기도 수원시 팔달구 인계로108번길 39-12,경기도 수원시 팔달구 인계동 1032-3,37.26566267,127.029403,031-226-7213,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
149,짱이네뽕이네,1,경기도,수원시,41115,경기도 수원시 팔달구 인계로124번길 9,경기도 수원시 팔달구 인계동 1036-13,37.2668138,127.031157,0507-1465-1264,11:00,23:00,11:00,23:00,11:00,23:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
150,오방만두 인계점,1,경기도,수원시,41115,경기도 수원시 팔달구 인계로124번길 9,경기도 수원시 팔달구 인계동 1036-13,37.2668138,127.031157,0507-1395-5582,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
151,완백부대찌개,1,경기도,수원시,41115,경기도 수원시 팔달구 인계로138번길 22,경기도 수원시 팔달구 인계동 1039-5,37.2661961,127.0321451,0507-1402-6388,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,경기도 수원시,031-228-7344,2021-03-11
152,성성식당,1,경기도,수원시,41115,경기도 수원시 팔달구 인계로166번길 48-21,경기도 수원시 팔달구 인계동 1119,37.26460559,127.0334236,0507-1343-0230,10:30,23:00,10:30,23:00,10:30,23:00,11:30,23:00,경기도 수원시,031-228-7344,2021-03-11
153,카페그리닝,1,경기도,수원시,41115,경기도 수원시 팔달구 장다리로233번길 20-24,경기도 수원시 팔달구 인계동 969,37.27191344,127.0256513,031-221-9333,9:30,4:50,9:30,4:50,9:30,4:50,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
154,참큰곤드레순대국,1,경기도,수원시,41115,경기도 수원시 팔달구 장다리로271번길 2,경기도 수원시 팔달구 인계동 956-9,37.27410038,127.027555,0507-1333-4289,9:00,23:30,9:00,23:30,9:00,23:30,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
155,그레이락(grayrock),1,경기도,수원시,41115,경기도 수원시 팔달구 정조로 904-1,경기도 수원시 팔달구 북수동 6-3,37.28876491,127.0148468,0507-1364-9667,12:00,23:30,12:00,23:30,12:00,23:30,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
156,푸라닭 수원우만점,1,경기도,수원시,41115,경기도 수원시 팔달구 중부대로 187,경기도 수원시 팔달구 우만동 141-4,37.27721816,127.0368134,031-214-9207,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,경기도 수원시,031-228-7344,2021-03-11
157,달 밥,1,경기도,수원시,41115,경기도 수원시 팔달구 창룡대로80번길 10-6,경기도 수원시 팔달구 남수동 11-73,37.28525378,127.0234956,02-883-7897,11:00,16:00,11:00,19:00,11:00,19:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
158,두찜 수원 고등점,1,경기도,수원시,41115,경기도 수원시 팔달구 팔달로 82,경기도 수원시 팔달구 고등동 167-5,37.275999,,031-244-2246,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-7344,2021-03-11
159,세븐일레븐 수원지동타운점,1,경기도,수원시,41115,경기도 수원시 팔달구 팔달문로115번길 14,경기도 수원시 팔달구 지동 478-1,37.28236662,127.028637,031-254-3334,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
160,황금돼지,1,경기도,수원시,41115,경기도 수원시 팔달구 팔달문로140번길 30,경기도 수원시 팔달구 우만동 555-5,37.28120602,127.0317287,031-212-3308,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
161,1982인생떡볶이,1,경기도,수원시,41115,경기도 수원시 팔달구 향교로 11-1,경기도 수원시 팔달구 매산로1가 31-1,37.26806316,127.0023198,031-241-1982,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-7344,2021-03-11
162,에그궁,1,경기도,수원시,41115,경기도 수원시 팔달구 화서문로17번길 6-4,경기도 수원시 팔달구 장안동 322-27,37.2853965,127.010235,0507-1433-8583,11:30,21:00,11:30,21:00,11:30,21:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
163,째리주택,1,경기도,수원시,41115,경기도 수원시 팔달구 화서문로32번길 25-6,경기도 수원시 팔달구 신풍동 103-1,37.28425115,127.0125448,0507-1349-7432,12:00,21:00,12:00,21:00,12:00,21:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
164,포레스트 행궁점,1,경기도,수원시,41115,경기도 수원시 팔달구 화서문로46번길 12,경기도 수원시 팔달구 신풍동 49,37.2847592,127.012982,0507-1310-0729,11:30,20:30,11:30,20:30,11:30,20:30,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
165,석관동떡볶이 수원화서점,1,경기도,수원시,41115,경기도 수원시 팔달구 화양로24번길 21,경기도 수원시 팔달구 화서동 123-3,37.28108961,126.9985134,0507-1347-5449,10:50,20:00,10:50,20:00,10:50,20:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
166,면아당 동수원점,1,경기도,수원시,41115,경기도 수원시 팔달구 효원로 257,경기도 수원시 팔달구 인계동 1045,37.26275708,127.0301304,1588-9052,10:30,21:30,10:30,21:30,10:30,21:30,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
167,미니스톱 수원하이엔드점,1,경기도,수원시,41115,경기도 수원시 팔달구 효원로 299,경기도 수원시 팔달구 인계동 1122-11,37.26146564,127.0346512,1577-9621,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
168,비에이치씨치킨 인계점,1,경기도,수원시,41115,경기도 수원시 팔달구 효원로193번길 41,경기도 수원시 팔달구 인계동 999-5,37.26581272,127.0236818,031-235-8892,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,경기도 수원시,031-228-7344,2021-03-11
169,꼬기어때&커피(인계점),1,경기도,수원시,41115,경기도 수원시 팔달구 효원로308번길 58-9,경기도 수원시 팔달구 인계동 1134-4,37.25798506,127.0338474,031-309-9292,16:00,3:00,16:00,3:00,16:00,3:00,0:00,0:00,경기도 수원시,031-228-7344,2021-03-11
170,두껍삼,1,경기도,수원시,41115,경기도 수원시 영통구 센트럴파크로127번길 115-3,경기도 수원시 영통구 이의동 1310-2,37.29418435,127.0534031,031-213-3592,12:00,23:00,12:00,23:00,12:00,23:00,12:00,21:30,경기도 수원시,031-228-8339,2021-03-11
171,정서식당,1,경기도,수원시,41115,경기도 수원시 영통구 대학3로4번길 7,경기도 수원시 영통구 이의동 1256-4,37.29997097,127.0427959,031-217-4776,11:00,22:30,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
172,티엔바오,1,경기도,수원시,41115,경기도 수원시 영통구 광교중앙로 170,경기도 수원시 영통구 하동 1016,37.28812459,127.0607027,0507-1352-5735,11:30,15:00,11:30,15:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
173,마라앤주,1,경기도,수원시,41115,경기도 수원시 영통구 청명남로28번길 20,경기도 수원시 영통구 영통동 1009-2,37.25145875,127.0759359,031-202-8811,17:00,1:30,17:00,1:30,17:00,1:30,17:00,1:30,경기도 수원시,031-228-8339,2021-03-11
174,오초,1,경기도,수원시,41115,경기도 수원시 영통구 광교중앙로266번길 30,경기도 수원시 영통구 하동 984,37.2923086,127.0687161,031-214-9467,11:30,20:00,11:30,20:00,11:30,20:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
175,전주청기와감자탕,1,경기도,수원시,41115,경기도 수원시 영통구 매영로345번길 95,경기도 수원시 영통구 영통동 961-4,37.25557463,127.0733568,0507-1317-8944,9:00,21:00,9:00,21:00,9:00,21:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
176,닥치고 떡볶이 수원매탄점,1,경기도,수원시,41115,경기도 수원시 영통구 매탄로204번길 14,경기도 수원시 영통구 매탄동 207-4,37.2681021,127.0475894,0507-1389-7943,11:00,1:00,11:00,1:00,11:00,1:00,11:00,1:00,경기도 수원시,031-228-8339,2021-03-11
177,라홍방 마라탕 매탄점,1,경기도,수원시,41115,경기도 수원시 영통구 효원로 393,경기도 수원시 영통구 매탄동 1267-6,37.2591165,127.0446949,0507-1390-3330,11:00,21:30,11:00,21:30,11:00,21:30,10:15,21:30,경기도 수원시,031-228-8339,2021-03-11
178,화담,1,경기도,수원시,41115,경기도 수원시 영통구 반달로 110,경기도 수원시 영통구 영통동 1037-8,37.25312241,127.0768197,031-205-4019,16:00,23:00,16:00,23:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
179,라운지밥,1,경기도,수원시,41115,경기도 수원시 영통구 대학4로 17,경기도 수원시 영통구 이의동 1248-3,37.30016529,127.0467106,031-899-8699,11:00,19:00,11:00,19:00,11:00,19:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
180,인생닭강정 수원영통구청점,1,경기도,수원시,41115,경기도 수원시 영통구 매탄로100번길 29,경기도 수원시 영통구 매탄동 1265-4,37.259489,127.0449008,0507-1394-1380,12:00,22:00,12:00,22:00,12:00,22:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
181,두찜 수원원천점,1,경기도,수원시,41115,경기도 수원시 영통구 동수원로537번길 36-15,경기도 수원시 영통구 원천동 72-78,37.2752679,127.0473631,031-214-2434,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-8339,2021-03-11
182,배떡 영통점,1,경기도,수원시,41115,경기도 수원시 영통구 반달로35번길 30,경기도 수원시 영통구 영통동 1012-1,37.25178087,127.0774604,0507-1430-9998,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
183,비에이치씨(BHC)수원신동점,1,경기도,수원시,41115,경기도 수원시 영통구 권선로908번길 53,경기도 수원시 영통구 신동 938,37.24650436,127.0443488,031-273-6777,12:00,0:00,12:00,0:00,12:00,0:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
184,흥덕빈대떡 광교점,1,경기도,수원시,41115,경기도 수원시 영통구 법조로149번길 106,경기도 수원시 영통구 하동 968-5,37.29356758,127.0686331,031-211-0598,11:00,0:00,11:00,0:00,11:00,0:00,11:30,23:30,경기도 수원시,031-228-8339,2021-03-11
185,옛날통닭,1,경기도,수원시,41115,경기도 수원시 영통구 태장로 84,경기도 수원시 영통구 망포동 547-8,37.238967,127.0555283,031-205-7915,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
186,비스트로 피자,1,경기도,수원시,41115,경기도 수원시 영통구 권선로908번길 53,경기도 수원시 영통구 신동 938,37.24650436,127.0443488,031-203-8008,11:30,0:00,11:30,0:00,11:30,0:00,12:00,23:30,경기도 수원시,031-228-8339,2021-03-11
187,미니스톱 광교레이크점,1,경기도,수원시,41115,경기도 수원시 영통구 법조로 38,경기도 수원시 영통구 하동 1019-2,37.28688888,127.0621485,1577-9621,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
188,오시리야 주방,1,경기도,수원시,41115,경기도 수원시 영통구 영통로 498,경기도 수원시 영통구 영통동 955-1,37.26322575,127.0785394,0508-8195-2257,18:00,0:00,18:00,0:00,18:00,0:00,18:00,0:00,경기도 수원시,031-228-8339,2021-03-11
189,솔뫼,1,경기도,수원시,41115,경기도 수원시 영통구 매여울로 32-1,경기도 수원시 영통구 매탄동 196-65,37.27122858,127.0458645,031-213-5071,9:30,1:30,9:30,1:30,10:30,9:00,9:30,1:30,경기도 수원시,031-228-8339,2021-03-11
190,1인.용피자 광교중흥점,1,경기도,수원시,41115,경기도 수원시 영통구 광교호수공원로 277,경기도 수원시 영통구 원천동 589,37.28394176,127.056778,0507-1339-9099,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,경기도 수원시,031-228-8339,2021-03-11
191,육촌,1,경기도,수원시,41115,경기도 수원시 영통구 도청로18번길 26,경기도 수원시 영통구 이의동 1336,37.28764021,127.0568686,0507-1316-0692,11:00,23:00,11:00,23:00,11:00,23:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
192,원천유원지,1,경기도,수원시,41115,경기도 수원시 영통구 센트럴파크로 6,경기도 수원시 영통구 하동 1021,37.28667107,127.0648956,0503-7502-7427,11:00,0:00,11:00,0:00,11:00,0:00,0:00,0:00,경기도 수원시,031-228-8339,2021-03-11
193,버거앤프라이즈 매탄인계점,1,경기도,수원시,41115,경기도 수원시 영통구 매탄로37번길 16-1,경기도 수원시 영통구 매탄동 1167-8,37.25567014,127.039517,031-898-8286,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,경기도 수원시,031-228-8339,2021-03-11
194,롯데리아/주식회사 노마드,1,경기도,수원시,41115,경기도 수원시 영통구 중부대로 248,경기도 수원시 영통구 매탄동 153-35,37.2747401,127.0427718,031-215-1294,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,경기도 수원시,031-228-8339,2021-03-11
